date,datatype,station,value,city
1990-10-01,PRCP,GHCND:BR001555001,247.6,"Cuiaba, BR"
1990-10-01,PRCP,GHCND:BR001556000,103.3,"Cuiaba, BR"
1990-10-01,PRCP,GHCND:BR001556001,170.1,"Cuiaba, BR"
1990-10-01,PRCP,GHCND:BR002548000,133.2,"Curitiba, BR"
1990-10-01,PRCP,GHCND:BR002548001,141.9,"Curitiba, BR"
1990-10-01,PRCP,GHCND:BR002548038,163.5,"Curitiba, BR"
1990-10-01,PRCP,GHCND:BR002549004,130.4,"Curitiba, BR"
1990-10-01,PRCP,GHCND:BR002549017,114.6,"Curitiba, BR"
1990-10-01,PRCP,GHCND:BR002549041,132.3,"Curitiba, BR"
1990-10-01,PRCP,GHCND:BR002549075,145.1,"Curitiba, BR"
1990-10-01,PRCP,GHCND:BR002549077,185.6,"Curitiba, BR"
1990-10-01,PRCP,GHCND:BR002549078,74.7,"Curitiba, BR"
1990-10-01,PRCP,GHCND:BR002549080,134.8,"Curitiba, BR"
1990-10-01,PRCP,GHCND:BR002549081,137.4,"Curitiba, BR"
1990-10-01,PRCP,GHCND:BR002549082,170.9,"Curitiba, BR"
1990-10-01,PRCP,GHCND:BR002748004,184.7,"Florianopolis, BR"
1990-10-01,PRCP,GHCND:BR002748005,214.1,"Florianopolis, BR"
1990-10-01,PRCP,GHCND:BR002748016,154.8,"Florianopolis, BR"
1990-10-01,PRCP,GHCND:BR002748023,63.3,"Florianopolis, BR"
1990-11-01,PRCP,GHCND:BR001555001,129.6,"Cuiaba, BR"
1990-11-01,PRCP,GHCND:BR001556000,138.9,"Cuiaba, BR"
1990-11-01,PRCP,GHCND:BR001556001,106.3,"Cuiaba, BR"
1990-11-01,PRCP,GHCND:BR002548000,237.8,"Curitiba, BR"
1990-11-01,PRCP,GHCND:BR002548001,145.6,"Curitiba, BR"
1990-11-01,PRCP,GHCND:BR002548038,147.8,"Curitiba, BR"
1990-11-01,PRCP,GHCND:BR002549004,125.7,"Curitiba, BR"
1990-11-01,PRCP,GHCND:BR002549017,148.6,"Curitiba, BR"
1990-11-01,PRCP,GHCND:BR002549041,206.1,"Curitiba, BR"
1990-11-01,PRCP,GHCND:BR002549075,163.3,"Curitiba, BR"
1990-11-01,PRCP,GHCND:BR002549077,152.1,"Curitiba, BR"
1990-11-01,PRCP,GHCND:BR002549078,149.3,"Curitiba, BR"
1990-11-01,PRCP,GHCND:BR002549079,84.6,"Curitiba, BR"
1990-11-01,PRCP,GHCND:BR002549080,75.3,"Curitiba, BR"
1990-11-01,PRCP,GHCND:BR002549081,182.0,"Curitiba, BR"
1990-11-01,PRCP,GHCND:BR002549082,181.5,"Curitiba, BR"
1990-11-01,PRCP,GHCND:BR002748004,154.1,"Florianopolis, BR"
1990-11-01,PRCP,GHCND:BR002748005,272.0,"Florianopolis, BR"
1990-11-01,PRCP,GHCND:BR002748016,187.1,"Florianopolis, BR"
1990-11-01,PRCP,GHCND:BR002748023,38.9,"Florianopolis, BR"
1990-12-01,PRCP,GHCND:BR001555001,297.7,"Cuiaba, BR"
1990-12-01,PRCP,GHCND:BR001556000,177.9,"Cuiaba, BR"
1990-12-01,PRCP,GHCND:BR001556001,95.2,"Cuiaba, BR"
1990-12-01,PRCP,GHCND:BR002548000,75.5,"Curitiba, BR"
1990-12-01,PRCP,GHCND:BR002548001,42.7,"Curitiba, BR"
1990-12-01,PRCP,GHCND:BR002548038,65.4,"Curitiba, BR"
1990-12-01,PRCP,GHCND:BR002549004,86.9,"Curitiba, BR"
1990-12-01,PRCP,GHCND:BR002549017,93.0,"Curitiba, BR"
1990-12-01,PRCP,GHCND:BR002549041,63.6,"Curitiba, BR"
1990-12-01,PRCP,GHCND:BR002549075,82.8,"Curitiba, BR"
1990-12-01,PRCP,GHCND:BR002549077,63.2,"Curitiba, BR"
1990-12-01,PRCP,GHCND:BR002549078,46.2,"Curitiba, BR"
1990-12-01,PRCP,GHCND:BR002549080,14.6,"Curitiba, BR"
1990-12-01,PRCP,GHCND:BR002549081,48.3,"Curitiba, BR"
1990-12-01,PRCP,GHCND:BR002549082,68.6,"Curitiba, BR"
1990-12-01,PRCP,GHCND:BR002748004,138.1,"Florianopolis, BR"
1990-12-01,PRCP,GHCND:BR002748005,199.5,"Florianopolis, BR"
1990-12-01,PRCP,GHCND:BR002748016,135.0,"Florianopolis, BR"
1990-12-01,PRCP,GHCND:BR002748023,65.8,"Florianopolis, BR"
1991-01-01,PRCP,GHCND:BR001555001,186.6,"Cuiaba, BR"
1991-01-01,PRCP,GHCND:BR001556000,102.6,"Cuiaba, BR"
1991-01-01,PRCP,GHCND:BR001556001,175.3,"Cuiaba, BR"
1991-01-01,PRCP,GHCND:BR002548000,146.3,"Curitiba, BR"
1991-01-01,PRCP,GHCND:BR002548001,91.1,"Curitiba, BR"
1991-01-01,PRCP,GHCND:BR002548038,181.2,"Curitiba, BR"
1991-01-01,PRCP,GHCND:BR002549004,114.8,"Curitiba, BR"
1991-01-01,PRCP,GHCND:BR002549017,104.0,"Curitiba, BR"
